ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
46500729355,0.002,0.092,2.0,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
7501681100223,3.652,117.904,17.557,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058796851,0.996,15.822,22.133,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
7501025401832,0.437,8.925,5.678,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501025401887,0.227,4.864,3.439,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058784346,0.222,42.442,2.094,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
7501025401931,3.344,38.935,37.998,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501025405885,1.081,26.986,5.544,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058757630,0.257,25.063,3.134,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
7501058757791,0.429,73.047,3.181,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501025401795,3.872,102.873,16.477,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058784353,0.988,85.78,3.218,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
7503002319536,0.449,46.209,3.563,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501021160719,0.1,5.886,2.128,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058753441,3.755,78.762,10.698,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716477,0.005,0.163,2.5,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058715364,0.012,0.233,4.0,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501025401306,0.248,36.303,7.086,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058795892,0.105,12.259,1.55,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
37000018704,0.02,2.04,2.857,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7502283280818,0.012,0.389,4.0,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
612464080148,0.128,3.11,10.667,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7503025939353,0.001,0.07,1.0,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
737128047005,0.063,2.648,2.1,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501041508652,0.02,4.22,1.538,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7503031116083,0.088,1.923,1.913,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
737128127004,0.146,2.034,3.476,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
737128247009,0.114,1.02,3.0,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75016811013051,0.181,1.593,10.056,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75016811006432,0.513,3.019,12.211,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75016811006502,0.717,4.001,14.639,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058795908,0.103,24.273,1.717,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716477,0.004,0.154,1.333,TOTAL AUTOS AREA 6,2022-11-20,46-22,46,11,2022
7891035040191,0.014,0.167,3.5,TOTAL AUTOS AREA 6,2022-09-11,36-22,36,9,2022
75000639,63.285,2400.248,128.367,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025408947,1.596,20.84,24.554,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75000615,81.143,1071.387,164.925,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025411893,1.519,55.359,7.199,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025412005,1.111,97.428,5.817,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025409470,0.017,0.692,8.5,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025411992,2.513,66.223,9.342,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401948,0.001,0.027,1.0,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025405106,7.188,235.571,17.575,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401313,0.994,50.717,7.418,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401931,0.344,4.534,8.39,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025405151,10.522,190.896,21.65,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401863,0.216,14.779,1.846,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401832,0.4,8.045,4.0,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401849,0.136,5.079,2.72,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75016811006502,0.104,0.564,6.5,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75016811006432,0.055,0.288,4.231,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
